YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Gender,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2012,2012,MN,Minnesota,27.8,,Male,"(46.35564873600049, -94.79420050299967)",Male,GEN,MALE
2012,2012,MN,Minnesota,23.6,,Female,"(46.35564873600049, -94.79420050299967)",Female,GEN,FEMALE
2013,2013,MN,Minnesota,27,,Male,"(46.35564873600049, -94.79420050299967)",Male,GEN,MALE
2013,2013,MN,Minnesota,23.8,,Female,"(46.35564873600049, -94.79420050299967)",Female,GEN,FEMALE
2014,2014,MN,Minnesota,29.7,,Male,"(46.35564873600049, -94.79420050299967)",Male,GEN,MALE
2014,2014,MN,Minnesota,25.4,,Female,"(46.35564873600049, -94.79420050299967)",Female,GEN,FEMALE
2015,2015,MN,Minnesota,27.8,,Male,"(46.35564873600049, -94.79420050299967)",Male,GEN,MALE
2015,2015,MN,Minnesota,24.3,,Female,"(46.35564873600049, -94.79420050299967)",Female,GEN,FEMALE
2011,2011,MS,Mississippi,32.4,,Male,"(32.745510099000455, -89.53803082499968)",Male,GEN,MALE
2011,2011,MS,Mississippi,37.3,,Female,"(32.745510099000455, -89.53803082499968)",Female,GEN,FEMALE
2012,2012,MS,Mississippi,31.8,,Male,"(32.745510099000455, -89.53803082499968)",Male,GEN,MALE
2012,2012,MS,Mississippi,37.3,,Female,"(32.745510099000455, -89.53803082499968)",Female,GEN,FEMALE
2013,2013,MS,Mississippi,33.8,,Male,"(32.745510099000455, -89.53803082499968)",Male,GEN,MALE
2013,2013,MS,Mississippi,36.4,,Female,"(32.745510099000455, -89.53803082499968)",Female,GEN,FEMALE
