YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Age(years),GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2014,2014,CT,Connecticut,26.8,35 - 44,"(41.56266102000046, -72.64984095199964)",35 - 44,AGEYR,AGEYR3544
2014,2014,CT,Connecticut,30.8,45 - 54,"(41.56266102000046, -72.64984095199964)",45 - 54,AGEYR,AGEYR4554
2014,2014,CT,Connecticut,31.7,55 - 64,"(41.56266102000046, -72.64984095199964)",55 - 64,AGEYR,AGEYR5564
2014,2014,CT,Connecticut,27.2,65 or older,"(41.56266102000046, -72.64984095199964)",65 or older,AGEYR,AGEYR65PLUS
2015,2015,CT,Connecticut,29,45 - 54,"(41.56266102000046, -72.64984095199964)",45 - 54,AGEYR,AGEYR4554
2015,2015,CT,Connecticut,29.5,55 - 64,"(41.56266102000046, -72.64984095199964)",55 - 64,AGEYR,AGEYR5564
2015,2015,CT,Connecticut,11.2,18 - 24,"(41.56266102000046, -72.64984095199964)",18 - 24,AGEYR,AGEYR1824
2015,2015,CT,Connecticut,25.5,65 or older,"(41.56266102000046, -72.64984095199964)",65 or older,AGEYR,AGEYR65PLUS
2015,2015,CT,Connecticut,26,35 - 44,"(41.56266102000046, -72.64984095199964)",35 - 44,AGEYR,AGEYR3544
2015,2015,CT,Connecticut,26.4,25 - 34,"(41.56266102000046, -72.64984095199964)",25 - 34,AGEYR,AGEYR2534
2011,2011,DE,Delaware,14.2,18 - 24,"(39.008830667000495, -75.57774116799965)",18 - 24,AGEYR,AGEYR1824
