YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2015,2015,NV,Nevada,26.7,Total,"(39.493240390000494, -117.07184056399967)",Total,OVR,OVERALL
2015,2015,NH,New Hampshire,26.3,Total,"(43.65595011300047, -71.50036091999965)",Total,OVR,OVERALL
2015,2015,NJ,New Jersey,25.6,Total,"(40.13057004800049, -74.27369128799967)",Total,OVR,OVERALL
2015,2015,NM,New Mexico,28.8,Total,"(34.52088095200048, -106.24058098499967)",Total,OVR,OVERALL
2015,2015,NY,New York,25,Total,"(42.82700103200045, -75.54397042699964)",Total,OVR,OVERALL
2015,2015,NC,North Carolina,30.1,Total,"(35.466220975000454, -79.15925046299964)",Total,OVR,OVERALL
2015,2015,ND,North Dakota,31,Total,"(47.47531977900047, -100.11842104899966)",Total,OVR,OVERALL
2015,2015,OH,Ohio,29.8,Total,"(40.06021014100048, -82.40426005599966)",Total,OVR,OVERALL
2015,2015,OK,Oklahoma,33.9,Total,"(35.47203135600046, -97.52107021399968)",Total,OVR,OVERALL
2015,2015,OR,Oregon,30.1,Total,"(44.56744942400047, -120.15503132599969)",Total,OVR,OVERALL
2015,2015,PA,Pennsylvania,30,Total,"(40.79373015200048, -77.86070029399963)",Total,OVR,OVERALL
